249 100
-5.000000000000000e-01 0.000000000000000e+00 0.000000000000000e+00
-5.000000000000000e-01 6.000000000000000e-07 0.000000000000000e+00
-5.000000000000000e-01 1.200000000000000e-06 0.000000000000000e+00
-5.000000000000000e-01 1.809801940928799e-06 0.000000000000000e+00
-5.000000000000000e-01 2.439367893791812e-06 0.000000000000000e+00
-5.000000000000000e-01 3.098982805723616e-06 0.000000000000000e+00
-5.000000000000000e-01 3.799422520728396e-06 0.000000000000000e+00
-5.000000000000000e-01 4.552129819990582e-06 0.000000000000000e+00
-5.000000000000000e-01 5.369401357650250e-06 0.000000000000000e+00
-5.000000000000000e-01 6.264588545932276e-06 0.000000000000000e+00
-5.000000000000000e-01 7.252315671402927e-06 0.000000000000000e+00
-5.000000000000000e-01 8.348718805624921e-06 0.000000000000000e+00
-5.000000000000000e-01 9.571709413191252e-06 0.000000000000000e+00
-5.000000000000000e-01 1.094126696358831e-05 0.000000000000000e+00
-5.000000000000000e-01 1.247976532716208e-05 0.000000000000000e+00
-5.000000000000000e-01 1.421233828737722e-05 0.000000000000000e+00
-5.000000000000000e-01 1.616729014058516e-05 0.000000000000000e+00
-5.000000000000000e-01 1.837655809109223e-05 0.000000000000000e+00
-5.000000000000000e-01 2.087623399547635e-05 0.000000000000000e+00
-5.000000000000000e-01 2.370715397966403e-05 0.000000000000000e+00
-5.000000000000000e-01 2.691556556108721e-05 0.000000000000000e+00
-5.000000000000000e-01 3.055388317440655e-05 0.000000000000000e+00
-5.000000000000000e-01 3.468154444349861e-05 0.000000000000000e+00
-5.000000000000000e-01 3.936598118825299e-05 0.000000000000000e+00
-5.000000000000000e-01 4.468372102909758e-05 0.000000000000000e+00
-5.000000000000000e-01 5.072163758569018e-05 0.000000000000000e+00
-5.000000000000000e-01 5.757836969373208e-05 0.000000000000000e+00
-5.000000000000000e-01 6.536593282503589e-05 0.000000000000000e+00
-5.000000000000000e-01 7.421154903592217e-05 0.000000000000000e+00
-5.000000000000000e-01 8.425972533902084e-05 0.000000000000000e+00
-5.000000000000000e-01 9.567461445194038e-05 0.000000000000000e+00
-5.000000000000000e-01 1.086426964893369e-04 0.000000000000000e+00
-5.000000000000000e-01 1.233758254080275e-04 0.000000000000000e+00
-5.000000000000000e-01 1.401146899736079e-04 0.000000000000000e+00
-5.000000000000000e-01 1.591327457888898e-04 0.000000000000000e+00
-5.000000000000000e-01 1.807406826200098e-04 0.000000000000000e+00
