321 161
1.008974000000000e+00 0.000000000000000e+00 0.000000000000000e+00
1.009974000000000e+00 0.000000000000000e+00 0.000000000000000e+00
1.010975740834587e+00 0.000000000000000e+00 0.000000000000000e+00
1.011980966368853e+00 0.000000000000000e+00 0.000000000000000e+00
1.012991426534178e+00 0.000000000000000e+00 0.000000000000000e+00
1.014008880374563e+00 0.000000000000000e+00 0.000000000000000e+00
1.015035099108847e+00 0.000000000000000e+00 0.000000000000000e+00
1.016071869214097e+00 0.000000000000000e+00 0.000000000000000e+00
1.017120995535568e+00 0.000000000000000e+00 0.000000000000000e+00
1.018184304428650e+00 0.000000000000000e+00 0.000000000000000e+00
1.019263646938240e+00 0.000000000000000e+00 0.000000000000000e+00
1.020360902021109e+00 0.000000000000000e+00 0.000000000000000e+00
1.021477979816857e+00 0.000000000000000e+00 0.000000000000000e+00
1.022616824973147e+00 0.000000000000000e+00 0.000000000000000e+00
1.023779420031017e+00 0.000000000000000e+00 0.000000000000000e+00
1.024967788876154e+00 0.000000000000000e+00 0.000000000000000e+00
1.026184000262147e+00 0.000000000000000e+00 0.000000000000000e+00
1.027430171411841e+00 0.000000000000000e+00 0.000000000000000e+00
1.028708471703075e+00 0.000000000000000e+00 0.000000000000000e+00
1.030021126445209e+00 0.000000000000000e+00 0.000000000000000e+00
1.031370420753019e+00 0.000000000000000e+00 0.000000000000000e+00
1.032758703524705e+00 0.000000000000000e+00 0.000000000000000e+00
1.034188391530931e+00 0.000000000000000e+00 0.000000000000000e+00
1.035661973622029e+00 0.000000000000000e+00 0.000000000000000e+00
1.037182015060669e+00 0.000000000000000e+00 0.000000000000000e+00
1.038751161987561e+00 0.000000000000000e+00 0.000000000000000e+00
1.040372146027949e+00 0.000000000000000e+00 0.000000000000000e+00
1.042047789046915e+00 0.000000000000000e+00 0.000000000000000e+00
1.043781008061782e+00 0.000000000000000e+00 0.000000000000000e+00
1.045574820320159e+00 0.000000000000000e+00 0.000000000000000e+00
1.047432348552467e+00 0.000000000000000e+00 0.000000000000000e+00
1.049356826408100e+00 0.000000000000000e+00 0.000000000000000e+00
1.051351604084671e+00 0.000000000000000e+00 0.000000000000000e+00
1.053420154160154e+00 0.000000000000000e+00 0.000000000000000e+00
1.055566077638064e+00 0.000000000000000e+00 0.000000000000000e+00
1.057793110216215e+00 0.000000000000000e+00 0.000000000000000e+00
1.060105128789944e+00 0.000000000000000e+00 0.000000000000000e+00
1.062506158201151e+00 0.000000000000000e+00 0.000000000000000e+00
1.065000378244880e+00 0.000000000000000e+00 0.000000000000000e+00
1.067592130945650e+00 0.000000000000000e+00 0.000000000000000e+00
1.070285928116205e+00 0.000000000000000e+00 0.000000000000000e+00
1.073086459211830e+00 0.000000000000000e+00 0.000000000000000e+00
1.075998599493918e+00 0.000000000000000e+00 0.000000000000000e+00
1.079027418516996e+00 0.000000000000000e+00 0.000000000000000e+00
1.082178188953976e+00 0.000000000000000e+00 0.000000000000000e+00
1.085456395775013e+00 0.000000000000000e+00 0.000000000000000e+00
1.088867745795923e+00 0.000000000000000e+00 0.000000000000000e+00
1.092418177612812e+00 0.000000000000000e+00 0.000000000000000e+00
1.096113871940186e+00 0.000000000000000e+00 0.000000000000000e+00
1.099961262370553e+00 0.000000000000000e+00 0.000000000000000e+00
1.103967046574247e+00 0.000000000000000e+00 0.000000000000000e+00
1.108138197958955e+00 0.000000000000000e+00 0.000000000000000e+00
1.112481977809279e+00 0.000000000000000e+00 0.000000000000000e+00
1.117005947927419e+00 0.000000000000000e+00 0.000000000000000e+00
1.121717983797029e+00 0.000000000000000e+00 0.000000000000000e+00
1.126626288293127e+00 0.000000000000000e+00 0.000000000000000e+00
1.131739405961943e+00 0.000000000000000e+00 0.000000000000000e+00
1.137066237895564e+00 0.000000000000000e+00 0.000000000000000e+00
1.142616057227260e+00 0.000000000000000e+00 0.000000000000000e+00
1.148398525274476e+00 0.000000000000000e+00 0.000000000000000e+00
1.154423708357587e+00 0.000000000000000e+00 0.000000000000000e+00
1.160702095323699e+00 0.000000000000000e+00 0.000000000000000e+00
1.167244615805993e+00 0.000000000000000e+00 0.000000000000000e+00
1.174062659250414e+00 0.000000000000000e+00 0.000000000000000e+00
1.181168094742804e+00 0.000000000000000e+00 0.000000000000000e+00
1.188573291671027e+00 0.000000000000000e+00 0.000000000000000e+00
1.196291141258019e+00 0.000000000000000e+00 0.000000000000000e+00
1.204335079003280e+00 0.000000000000000e+00 0.000000000000000e+00
1.212719108071854e+00 0.000000000000000e+00 0.000000000000000e+00
1.221457823671523e+00 0.000000000000000e+00 0.000000000000000e+00
1.230566438460651e+00 0.000000000000000e+00 0.000000000000000e+00
1.240060809030904e+00 0.000000000000000e+00 0.000000000000000e+00
1.249957463510952e+00 0.000000000000000e+00 0.000000000000000e+00
1.260273630339213e+00 0.000000000000000e+00 0.000000000000000e+00
1.271027268255709e+00 0.000000000000000e+00 0.000000000000000e+00
1.282237097565260e+00 0.000000000000000e+00 0.000000000000000e+00
1.293922632726447e+00 0.000000000000000e+00 0.000000000000000e+00
1.306104216323047e+00 0.000000000000000e+00 0.000000000000000e+00
1.318803054477110e+00 0.000000000000000e+00 0.000000000000000e+00
1.332041253765314e+00 0.000000000000000e+00 0.000000000000000e+00
1.345841859702849e+00 0.000000000000000e+00 0.000000000000000e+00
1.360228896861856e+00 0.000000000000000e+00 0.000000000000000e+00
1.375227410694227e+00 0.000000000000000e+00 0.000000000000000e+00
1.390863511131600e+00 0.000000000000000e+00 0.000000000000000e+00
1.407164418038422e+00 0.000000000000000e+00 0.000000000000000e+00
1.424158508597239e+00 0.000000000000000e+00 0.000000000000000e+00
1.441875366708674e+00 0.000000000000000e+00 0.000000000000000e+00
1.460345834492102e+00 0.000000000000000e+00 0.000000000000000e+00
1.479602065976682e+00 0.000000000000000e+00 0.000000000000000e+00
1.499677583076199e+00 0.000000000000000e+00 0.000000000000000e+00
1.520607333945178e+00 0.000000000000000e+00 0.000000000000000e+00
1.542427753817829e+00 0.000000000000000e+00 0.000000000000000e+00
1.565176828435775e+00 0.000000000000000e+00 0.000000000000000e+00
1.588894160174936e+00 0.000000000000000e+00 0.000000000000000e+00
1.613621036986718e+00 0.000000000000000e+00 0.000000000000000e+00
1.639400504273507e+00 0.000000000000000e+00 0.000000000000000e+00
1.666277439823595e+00 0.000000000000000e+00 0.000000000000000e+00
1.694298631935985e+00 0.000000000000000e+00 0.000000000000000e+00
1.723512860871079e+00 0.000000000000000e+00 0.000000000000000e+00
1.753970983769044e+00 0.000000000000000e+00 0.000000000000000e+00
1.785726023183680e+00 0.000000000000000e+00 0.000000000000000e+00
1.818833259385918e+00 0.000000000000000e+00 0.000000000000000e+00
1.853350326597622e+00 0.000000000000000e+00 0.000000000000000e+00
