299 180
4.451360000000000e-04 0.000000000000000e+00 0.000000000000000e+00
4.454921100000011e-04 0.000000000000000e+00 0.000000000000000e+00
4.458482200000008e-04 0.000000000000000e+00 0.000000000000000e+00
4.462050679069853e-04 0.000000000000000e+00 0.000000000000000e+00
4.465633931569771e-04 0.000000000000000e+00 0.000000000000000e+00
4.469239382472524e-04 0.000000000000000e+00 0.000000000000000e+00
4.472874502748852e-04 0.000000000000000e+00 0.000000000000000e+00
4.476546824848417e-04 0.000000000000000e+00 0.000000000000000e+00
4.480263958307958e-04 0.000000000000000e+00 0.000000000000000e+00
4.484033605519205e-04 0.000000000000000e+00 0.000000000000000e+00
4.487863577689432e-04 0.000000000000000e+00 0.000000000000000e+00
4.491761811027131e-04 0.000000000000000e+00 0.000000000000000e+00
4.495736383186958e-04 0.000000000000000e+00 0.000000000000000e+00
4.499795530007732e-04 0.000000000000000e+00 0.000000000000000e+00
4.503947662578080e-04 0.000000000000000e+00 0.000000000000000e+00
4.508201384665492e-04 0.000000000000000e+00 0.000000000000000e+00
4.512565510544279e-04 0.000000000000000e+00 0.000000000000000e+00
4.517049083260037e-04 0.000000000000000e+00 0.000000000000000e+00
4.521661393367977e-04 0.000000000000000e+00 0.000000000000000e+00
4.526411998184183e-04 0.000000000000000e+00 0.000000000000000e+00
4.531310741589747e-04 0.000000000000000e+00 0.000000000000000e+00
4.536367774428357e-04 0.000000000000000e+00 0.000000000000000e+00
4.541593575540427e-04 0.000000000000000e+00 0.000000000000000e+00
4.546998973476506e-04 0.000000000000000e+00 0.000000000000000e+00
4.552595168935467e-04 0.000000000000000e+00 0.000000000000000e+00
4.558393757973921e-04 0.000000000000000e+00 0.000000000000000e+00
4.564406756034728e-04 0.000000000000000e+00 0.000000000000000e+00
4.570646622844507e-04 0.000000000000000e+00 0.000000000000000e+00
4.577126288231964e-04 0.000000000000000e+00 0.000000000000000e+00
4.583859178920163e-04 0.000000000000000e+00 0.000000000000000e+00
4.590859246348386e-04 0.000000000000000e+00 0.000000000000000e+00
4.598140995581529e-04 0.000000000000000e+00 0.000000000000000e+00
4.605719515366312e-04 0.000000000000000e+00 0.000000000000000e+00
4.613610509397364e-04 0.000000000000000e+00 0.000000000000000e+00
4.621830328857141e-04 0.000000000000000e+00 0.000000000000000e+00
4.630396006297943e-04 0.000000000000000e+00 0.000000000000000e+00
4.639325290935447e-04 0.000000000000000e+00 0.000000000000000e+00
4.648636685427535e-04 0.000000000000000e+00 0.000000000000000e+00
4.658349484214184e-04 0.000000000000000e+00 0.000000000000000e+00
4.668483813498135e-04 0.000000000000000e+00 0.000000000000000e+00
4.679060672949030e-04 0.000000000000000e+00 0.000000000000000e+00
4.690101979217475e-04 0.000000000000000e+00 0.000000000000000e+00
4.701630611349279e-04 0.000000000000000e+00 0.000000000000000e+00
4.713670458193857e-04 0.000000000000000e+00 0.000000000000000e+00
4.726246467905113e-04 0.000000000000000e+00 0.000000000000000e+00
4.739384699637155e-04 0.000000000000000e+00 0.000000000000000e+00
4.753112377542504e-04 0.000000000000000e+00 0.000000000000000e+00
4.767457947184063e-04 0.000000000000000e+00 0.000000000000000e+00
4.782451134478009e-04 0.000000000000000e+00 0.000000000000000e+00
