161 81
1.008974000000000e+00 0.000000000000000e+00 0.000000000000000e+00
1.009974000000000e+00 0.000000000000000e+00 0.000000000000000e+00
1.010982757772934e+00 0.000000000000000e+00 0.000000000000000e+00
1.012009107790324e+00 0.000000000000000e+00 0.000000000000000e+00
1.013062038592572e+00 0.000000000000000e+00 0.000000000000000e+00
1.014150771508560e+00 0.000000000000000e+00 0.000000000000000e+00
1.015284841413952e+00 0.000000000000000e+00 0.000000000000000e+00
1.016474180235472e+00 0.000000000000000e+00 0.000000000000000e+00
1.017729203932459e+00 0.000000000000000e+00 0.000000000000000e+00
1.019060903717480e+00 0.000000000000000e+00 0.000000000000000e+00
1.020480942314868e+00 0.000000000000000e+00 0.000000000000000e+00
1.022001756100217e+00 0.000000000000000e+00 0.000000000000000e+00
1.023636664015334e+00 0.000000000000000e+00 0.000000000000000e+00
1.025399984212508e+00 0.000000000000000e+00 0.000000000000000e+00
1.027307159449636e+00 0.000000000000000e+00 0.000000000000000e+00
1.029374892334391e+00 0.000000000000000e+00 0.000000000000000e+00
1.031621291601866e+00 0.000000000000000e+00 0.000000000000000e+00
1.034066030706765e+00 0.000000000000000e+00 0.000000000000000e+00
1.036730520119053e+00 0.000000000000000e+00 0.000000000000000e+00
1.039638094831987e+00 0.000000000000000e+00 0.000000000000000e+00
1.042814218724693e+00 0.000000000000000e+00 0.000000000000000e+00
1.046286707569035e+00 0.000000000000000e+00 0.000000000000000e+00
1.050085972633827e+00 0.000000000000000e+00 0.000000000000000e+00
1.054245287019824e+00 0.000000000000000e+00 0.000000000000000e+00
1.058801077057981e+00 0.000000000000000e+00 0.000000000000000e+00
1.063793241322988e+00 0.000000000000000e+00 0.000000000000000e+00
1.069265500055927e+00 0.000000000000000e+00 0.000000000000000e+00
1.075265778056220e+00 0.000000000000000e+00 0.000000000000000e+00
1.081846624396135e+00 0.000000000000000e+00 0.000000000000000e+00
1.089065672633632e+00 0.000000000000000e+00 0.000000000000000e+00
1.096986145553977e+00 0.000000000000000e+00 0.000000000000000e+00
1.105677408860537e+00 0.000000000000000e+00 0.000000000000000e+00
1.115215578663862e+00 0.000000000000000e+00 0.000000000000000e+00
1.125684188089299e+00 0.000000000000000e+00 0.000000000000000e+00
1.137174918841132e+00 0.000000000000000e+00 0.000000000000000e+00
1.149788404130135e+00 0.000000000000000e+00 0.000000000000000e+00
1.163635109996376e+00 0.000000000000000e+00 0.000000000000000e+00
1.178836302745721e+00 0.000000000000000e+00 0.000000000000000e+00
1.195525110972596e+00 0.000000000000000e+00 0.000000000000000e+00
1.213847691469996e+00 0.000000000000000e+00 0.000000000000000e+00
1.233964509237486e+00 0.000000000000000e+00 0.000000000000000e+00
1.256051742797233e+00 0.000000000000000e+00 0.000000000000000e+00
1.280302827125498e+00 0.000000000000000e+00 0.000000000000000e+00
1.306930147712236e+00 0.000000000000000e+00 0.000000000000000e+00
1.336166900584994e+00 0.000000000000000e+00 0.000000000000000e+00
1.368269134586764e+00 0.000000000000000e+00 0.000000000000000e+00
1.403517993793615e+00 0.000000000000000e+00 0.000000000000000e+00
1.442222179710672e+00 0.000000000000000e+00 0.000000000000000e+00
1.484720654809799e+00 0.000000000000000e+00 0.000000000000000e+00
1.531385611085965e+00 0.000000000000000e+00 0.000000000000000e+00
1.582625729630223e+00 0.000000000000000e+00 0.000000000000000e+00
1.638889759765906e+00 0.000000000000000e+00 0.000000000000000e+00
1.700670449093307e+00 0.000000000000000e+00 0.000000000000000e+00
1.768508858861273e+00 0.000000000000000e+00 0.000000000000000e+00
1.842999102458772e+00 0.000000000000000e+00 0.000000000000000e+00
1.924793548525044e+00 0.000000000000000e+00 0.000000000000000e+00
2.014608534246021e+00 0.000000000000000e+00 0.000000000000000e+00
2.113230638872736e+00 0.000000000000000e+00 0.000000000000000e+00
2.221523572403803e+00 0.000000000000000e+00 0.000000000000000e+00
2.340435739761470e+00 0.000000000000000e+00 0.000000000000000e+00
2.471008546706572e+00 0.000000000000000e+00 0.000000000000000e+00
2.614385520233715e+00 0.000000000000000e+00 0.000000000000000e+00
2.771822323321050e+00 0.000000000000000e+00 0.000000000000000e+00
2.944697751741500e+00 0.000000000000000e+00 0.000000000000000e+00
3.134525809243084e+00 0.000000000000000e+00 0.000000000000000e+00
3.342968966849941e+00 0.000000000000000e+00 0.000000000000000e+00
3.571852722406083e+00 0.000000000000000e+00 0.000000000000000e+00
3.823181587871004e+00 0.000000000000000e+00 0.000000000000000e+00
4.099156644380261e+00 0.000000000000000e+00 0.000000000000000e+00
4.402194818814274e+00 0.000000000000000e+00 0.000000000000000e+00
4.734950050695135e+00 0.000000000000000e+00 0.000000000000000e+00
5.100336534786325e+00 0.000000000000000e+00 0.000000000000000e+00
5.501554242948757e+00 0.000000000000000e+00 0.000000000000000e+00
5.942116948767696e+00 0.000000000000000e+00 0.000000000000000e+00
6.425883000384008e+00 0.000000000000000e+00 0.000000000000000e+00
6.957089111031013e+00 0.000000000000000e+00 0.000000000000000e+00
7.540387463207033e+00 0.000000000000000e+00 0.000000000000000e+00
8.180886451433343e+00 0.000000000000000e+00 0.000000000000000e+00
8.884195420413418e+00 0.000000000000000e+00 0.000000000000000e+00
9.656473790400188e+00 0.000000000000000e+00 0.000000000000000e+00
1.050448500000000e+01 0.000000000000000e+00 0.000000000000000e+00
1.007983713485350e+00 1.390417883284481e-04 0.000000000000000e+00
1.009047634640948e+00 4.927943971188110e-04 0.000000000000000e+00
1.010253516190603e+00 7.755383407460972e-04 0.000000000000000e+00
1.011476770533187e+00 9.268813002286078e-04 0.000000000000000e+00
1.012677586299050e+00 1.006004599723199e-03 0.000000000000000e+00
1.013865161035618e+00 1.051614427343503e-03 0.000000000000000e+00
1.015062107493182e+00 1.082844856113536e-03 0.000000000000000e+00
1.016287793450757e+00 1.108039952302083e-03 0.000000000000000e+00
1.017561134311040e+00 1.131362262032100e-03 0.000000000000000e+00
1.018898000712308e+00 1.155198811559216e-03 0.000000000000000e+00
1.020313754969748e+00 1.181075623397156e-03 0.000000000000000e+00
1.021823750790166e+00 1.210616438894748e-03 0.000000000000000e+00
1.023442278295555e+00 1.244660993810232e-03 0.000000000000000e+00
1.025185853307531e+00 1.284483833604362e-03 0.000000000000000e+00
1.027069152881745e+00 1.329567099147482e-03 0.000000000000000e+00
1.029110852550352e+00 1.381611743633970e-03 0.000000000000000e+00
1.031328139716312e+00 1.440926120387797e-03 0.000000000000000e+00
1.033741928089410e+00 1.508488038130351e-03 0.000000000000000e+00
1.036372213380455e+00 1.584280376314256e-03 0.000000000000000e+00
1.039241692273855e+00 1.668857815735336e-03 0.000000000000000e+00
1.042375707556254e+00 1.762633773185582e-03 0.000000000000000e+00
1.045799210859473e+00 1.866287215443966e-03 0.000000000000000e+00
